"species","id","family","source_file","upstream_commit"
202,"F03FW2W202","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
242,"F03FW2W242","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
260,"F03FW2W260","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
263,"F03FW2W263","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
202,"F04FW2W202","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
242,"F04FW2W242","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
260,"F04FW2W260","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
263,"F04FW2W263","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
202,"F05FW2W202","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
242,"F05FW2W242","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
260,"F05FW2W260","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
263,"F05FW2W263","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
202,"F06FW2W202","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
242,"F06FW2W242","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
260,"F06FW2W260","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
263,"F06FW2W263","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
202,"F07FW2W202","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
242,"F07FW2W242","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
260,"F07FW2W260","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
263,"F07FW2W263","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
202,"F08FW2W202","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
242,"F08FW2W242","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
260,"F08FW2W260","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
263,"F08FW2W263","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
12,"I00FW2W012","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
17,"I00FW2W017","flewelling_2pt","TREEVOLUME_FIXTURES/full/flewelling_2pt.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
