"state","county","division","mountain","province","section","subregion_code","predominant_area_percent","source_page"
31,149,332,1,332,3,133203,57,60
31,151,251,1,251,7,125107,100,60
31,153,251,1,251,3,125103,100,60
31,155,251,1,251,3,125103,73.7,61
31,157,331,1,331,8,133108,90.1,61
31,159,251,1,251,7,125107,100,61
31,161,331,1,331,6,133106,67.5,61
31,163,332,1,332,5,133205,100,61
31,165,331,1,331,6,133106,92.7,61
31,167,251,1,251,2,125102,100,61
31,169,251,1,251,7,125107,76.7,61
31,171,332,1,332,3,133203,100,61
31,173,251,1,251,3,125103,72.3,61
31,175,332,1,332,5,133205,100,61
31,177,251,1,251,3,125103,100,61
31,179,251,1,251,2,125102,100,61
31,181,332,1,332,5,133205,96.3,61
31,183,332,1,332,3,133203,93.6,61
31,185,251,1,251,7,125107,100,61
32,510,341,1,341,4,134104,85,61
32,1,341,1,341,5,134105,83.8,61
32,3,322,1,322,1,132201,91.4,61
32,5,341,1,341,4,134104,83.5,61
32,7,341,1,341,7,134107,49.2,61
32,9,341,1,341,5,134105,66.3,61
32,11,1341,2,341,1,234101,64.4,61
32,13,341,1,341,5,134105,53.9,61
32,15,1341,2,341,1,234101,74.2,61
32,17,341,1,341,6,134106,90.4,61
32,19,341,1,341,4,134104,87.6,61
32,21,341,1,341,4,134104,50.1,61
32,23,1341,2,341,1,234101,44.3,61
32,27,341,1,341,5,134105,86.5,61
32,29,341,1,341,4,134104,91.1,61
32,31,342,1,342,2,134202,95.8,61
32,33,1341,2,341,1,234101,71.8,61
33,1,1212,2,212,1,221201,57.2,61
33,3,1212,2,212,1,221201,75.4,61
33,5,1212,2,212,2,221202,100,61
33,7,1212,2,212,1,221201,100,61
33,9,1212,2,212,1,221201,57.5,61
33,11,1212,2,212,2,221202,58.3,61
33,13,1212,2,212,2,221202,54.6,61
33,15,221,1,221,1,122101,100,61
33,17,221,1,221,1,122101,100,62
33,19,1212,2,212,2,221202,100,62
34,1,221,1,221,3,122103,100,62
34,3,221,1,221,4,122104,74.2,62
34,5,221,1,221,3,122103,100,62
34,7,221,1,221,3,122103,100,62
34,9,221,1,221,3,122103,100,62
34,11,221,1,221,3,122103,100,62
34,13,221,1,221,4,122104,100,62
34,15,221,1,221,3,122103,100,62
34,17,221,1,221,4,122104,100,62
34,19,221,1,221,4,122104,99.6,62
34,21,221,1,221,3,122103,67.3,62
34,23,221,1,221,3,122103,60.6,62
34,25,221,1,221,3,122103,100,62
34,27,221,1,221,4,122104,60.9,62
34,29,221,1,221,3,122103,100,62
34,31,221,1,221,1,122101,65.6,62
34,33,221,1,221,3,122103,100,62
34,35,221,1,221,4,122104,100,62
34,37,221,1,221,2,122102,85.3,62
34,39,221,1,221,4,122104,100,62
34,41,221,1,221,1,122101,60,62
35,1,313,1,313,5,131305,85.6,62
35,3,1313,2,313,1,231301,96.7,62
35,5,315,1,315,1,131501,55.5,62
35,6,1313,2,313,1,231301,84.7,62
35,7,1331,2,331,6,233106,48,62
35,9,315,1,315,2,131502,98.9,62
35,11,315,1,315,1,131501,100,62
35,13,321,1,321,1,132101,100,62
35,15,321,1,321,1,132101,88.1,62
35,17,321,1,321,1,132101,81.3,62
35,19,315,1,315,1,131501,90.2,62
35,21,315,1,315,1,131501,92,62
35,23,321,1,321,1,132101,100,62
35,25,315,1,315,2,131502,58.9,62
35,27,1313,2,313,2,231302,45.3,62
35,28,1331,2,331,7,233107,86.6,62
35,29,321,1,321,1,132101,100,62
35,31,1313,2,313,1,231301,60.4,62
35,33,1313,2,313,2,231302,49.4,63
35,35,321,1,321,1,132101,63,63
35,37,315,1,315,2,131502,63.1,63
35,39,1331,2,331,7,233107,43.3,63
35,41,315,1,315,2,131502,72.9,63
35,43,1313,2,313,1,231301,43.4,63
35,45,313,1,313,2,131302,73.7,63
35,47,1313,2,313,2,231302,52.2,63
35,49,331,1,331,10,133110,50.1,63
35,51,321,1,321,1,132101,86.2,63
35,53,1313,2,313,1,231301,39.9,63
35,55,331,1,331,10,133110,79.9,63
35,57,1313,2,313,2,231302,89.8,63
35,59,315,1,315,1,131501,52.4,63
35,61,313,1,313,5,131305,82.8,63
36,1,221,1,221,2,122102,78.7,63
36,3,212,1,212,6,121206,97.5,63
36,5,221,1,221,4,122104,100,63
36,7,212,1,212,6,121206,100,63
36,9,212,1,212,6,121206,79.3,63
36,11,222,1,222,9,122209,72.8,63
36,13,221,1,221,6,122106,59.3,63
36,15,212,1,212,6,121206,100,63
36,17,212,1,212,6,121206,100,63
36,19,1212,2,212,4,221204,70.6,63
36,21,221,1,221,2,122102,62.9,63
36,23,212,1,212,6,121206,100,63
36,25,1212,2,212,5,221205,75.6,63
36,27,221,1,221,2,122102,52.6,63
36,29,222,1,222,9,122209,89,63
36,31,1212,2,212,4,221204,83.7,63
36,33,1212,2,212,4,221204,76.4,63
36,35,212,1,212,6,121206,51.2,63
36,37,222,1,222,9,122209,94.6,63
36,39,221,1,221,2,122102,52.7,63
36,41,1212,2,212,4,221204,100,63
36,43,1212,2,212,4,221204,57.7,63
36,45,222,1,222,9,122209,92.4,63
36,47,221,1,221,1,122101,100,63
36,49,1212,2,212,4,221204,80,63
36,51,212,1,212,6,121206,69.7,63
36,53,212,1,212,6,121206,97.2,63
36,55,222,1,222,9,122209,100,64
36,57,212,1,212,6,121206,100,64
36,59,221,1,221,1,122101,100,64
