"state","county","division","mountain","province","section","subregion_code","predominant_area_percent","source_page"
42,27,1221,2,221,1,222101,61.5,73
42,29,221,1,221,4,122104,100,73
42,31,221,1,221,5,122105,78.1,73
42,33,221,1,221,5,122105,66.8,73
42,35,212,1,212,7,121207,60.8,73
42,37,1221,2,221,1,222101,99.8,73
42,39,221,1,221,6,122106,97.7,73
42,41,1221,2,221,1,222101,87.3,73
42,43,1221,2,221,1,222101,99.6,73
42,45,221,1,221,3,122103,58.9,73
42,47,212,1,212,7,121207,100,73
42,49,222,1,222,9,122209,63.3,73
42,51,221,1,221,5,122105,69.3,73
42,53,212,1,212,7,121207,100,73
42,55,1221,2,221,1,222101,80.2,73
42,57,1221,2,221,1,222101,100,73
42,59,221,1,221,5,122105,100,73
42,61,1221,2,221,1,222101,99.8,73
42,63,221,1,221,5,122105,91.6,73
42,65,221,1,221,5,122105,84.1,73
42,67,1221,2,221,1,222101,100,73
42,69,1221,2,221,1,222101,70.6,73
42,71,221,1,221,4,122104,86.4,74
42,73,221,1,221,6,122106,100,74
42,75,1221,2,221,1,222101,100,74
42,77,1221,2,221,1,222101,51.5,74
42,79,1221,2,221,1,222101,85.5,74
42,81,1221,2,221,1,222101,58.4,74
42,83,212,1,212,7,121207,100,74
42,85,221,1,221,6,122106,100,74
42,87,1221,2,221,1,222101,100,74
42,89,1221,2,221,1,222101,56.2,74
42,91,221,1,221,4,122104,92.4,74
42,93,1221,2,221,1,222101,100,74
42,95,221,1,221,2,122102,46.4,74
42,97,1221,2,221,1,222101,100,74
42,99,1221,2,221,1,222101,100,74
42,101,221,1,221,3,122103,96.4,74
42,103,212,1,212,6,121206,65.3,74
42,105,212,1,212,7,121207,66.5,74
42,107,1221,2,221,1,222101,100,74
42,109,1221,2,221,1,222101,100,74
42,111,1221,2,221,2,222102,99.1,74
42,113,212,1,212,6,121206,90.2,74
42,115,212,1,212,6,121206,100,74
42,117,212,1,212,6,121206,91.5,74
