"source_file","source_line_start","source_line_end","routine","target","ordinal","literal","value_type","value_numeric","value_character","upstream_commit"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",1,"-95.82708","numeric",-95.82708,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",2,"10.18193","numeric",10.18193,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",3,"0.17171","numeric",0.17171,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",4,"0.00285","numeric",0.00285,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",5,"0.0027","numeric",0.0027,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",6,"31.1948","numeric",31.1948,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",7,"-1.216054","numeric",-1.216054,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",8,"-98.9874","numeric",-98.9874,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",9,"9.3395","numeric",9.3395,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",10,"-6.9892","numeric",-6.9892,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",11,"0.0016","numeric",0.0016,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",12,"0.0102","numeric",0.0102,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",13,"110.0857","numeric",110.0857,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",14,"-1.500098","numeric",-1.500098,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",15,"-68.87314","numeric",-68.87314,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",16,"5.287","numeric",5.287,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",17,"-7.41769","numeric",-7.41769,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",18,"0.002","numeric",0.002,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",19,"0.01008","numeric",0.01008,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",20,"99.45291","numeric",99.45291,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",21,"-0.741615","numeric",-0.741615,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",22,"7.695041","numeric",7.695041,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",23,"-0.480727","numeric",-0.480727,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",24,"-2.175746","numeric",-2.175746,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",25,"0.00298","numeric",0.00298,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",26,"0.004667","numeric",0.004667,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",27,"4.461617","numeric",4.461617,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",28,"0.137687","numeric",0.137687,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",29,"48.52265","numeric",48.52265,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",30,"-2.85065","numeric",-2.85065,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",31,"0.95769","numeric",0.95769,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",32,"0.00296","numeric",0.00296,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r12tap.f",42,64,"R12TAP","((R12BDSC(1,I,J),I=1,7),J=1,11)",33,"0.00188","numeric",0.00188,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
