"source_file","source_line_start","source_line_end","routine","target","ordinal","literal","value_type","value_numeric","value_character","upstream_commit"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",1,"0.84292","numeric",0.84292,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",2,"0.97062","numeric",0.97062,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",3,"-0.38163","numeric",-0.38163,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",4,"-0.0074002","numeric",-0.0074002,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",5,"0.0","numeric",0,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",6,"DEROSA PINE (2)             0.87278","expression",,"DEROSA PINE (2)             0.87278","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",7,"1.26066","numeric",1.26066,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",8,"-1.91214","numeric",-1.91214,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",9,"0.020445","numeric",0.020445,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",10,"0.0","numeric",0,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",11,"AR PINE (3)           0.90051","expression",,"AR PINE (3)           0.90051","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",12,"0.91588","numeric",0.91588,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",13,"-0.92964","numeric",-0.92964,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",14,"0.0077119","numeric",0.0077119,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",15,"-0.0011019","numeric",-0.0011019,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",16,"TE FIR (4)           0.86039","expression",,"TE FIR (4)           0.86039","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",17,"1.45196","numeric",1.45196,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",18,"-2.42273","numeric",-2.42273,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",19,"-0.15848","numeric",-0.15848,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",20,"0.036947","numeric",0.036947,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",21,"FIR (5)           0.87927","expression",,"FIR (5)           0.87927","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",22,"0.91350","numeric",0.9135,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",23,"-0.56617","numeric",-0.56617,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",24,"-0.014480","numeric",-0.01448,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",25,"0.0037262","numeric",0.0037262,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",26,"ENSE CEDAR (6)           1.0","expression",,"ENSE CEDAR (6)           1.0","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",27,"0.31550","numeric",0.3155,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",28,"-0.34316","numeric",-0.34316,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",29,"0.0","numeric",0,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",30,"-0.00039283","numeric",-0.00039283,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",31,"FERY PINE (7)        0.82932","expression",,"FERY PINE (7)        0.82932","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",32,"1.50831","numeric",1.50831,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",33,"-4.08016","numeric",-4.08016,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",34,"0.047053","numeric",0.047053,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",35,"0.0","numeric",0,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",36,"GEPOLE PINE (8)        1.0","expression",,"GEPOLE PINE (8)        1.0","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",37,"0.84257","numeric",0.84257,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",38,"-0.98434","numeric",-0.98434,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",39,"0.0","numeric",0,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",40,"0.0","numeric",0,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",41,"WOOD (9)        0.955","expression",,"WOOD (9)        0.955","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",42,"0.387","numeric",0.387,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",43,"-0.362","numeric",-0.362,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",44,"-0.00581","numeric",-0.00581,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",16,33,"R5TAP","((R5WKC(I,J),I=1,5),J=1,9)",45,"0.00122","numeric",0.00122,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",1,"0.1420","numeric",0.142,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",2,"0.04302","numeric",0.04302,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",3,"DEROSA PINE (2)                          0.1031","expression",,"DEROSA PINE (2)                          0.1031","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",4,"0.03068","numeric",0.03068,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",5,"AR PINE (3)                         0.0743","expression",,"AR PINE (3)                         0.0743","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",6,"0.02936","numeric",0.02936,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",7,"TE FIR (4)                         0.0844","expression",,"TE FIR (4)                         0.0844","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",8,"0.03320","numeric",0.0332,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",9,"FIR (5)                         0.1105","expression",,"FIR (5)                         0.1105","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",10,"0.05061","numeric",0.05061,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",11,"ENSE CEDAR (6)                         0.1177","expression",,"ENSE CEDAR (6)                         0.1177","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",12,"0.03894","numeric",0.03894,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",13,"FERY PINE (7)                      0.1472","expression",,"FERY PINE (7)                      0.1472","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",14,"0.03880","numeric",0.0388,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",15,"GEPOLE PINE (8)                      0.0147","expression",,"GEPOLE PINE (8)                      0.0147","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",16,"0.03223","numeric",0.03223,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",17,"WOOD (9)                      0.153","expression",,"WOOD (9)                      0.153","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r5tap.f",38,55,"R5TAP","((R5WKB(I,J),I=1,2),J=1,9)",18,"0.035","numeric",0.035,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
