"source_file","source_line_start","source_line_end","target","statement_ordinal","literal","value","upstream_commit"
"scrib.f",32,42,"FACTOR",49,"112.292",112.292,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",50,"116.990",116.99,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",51,"121.650",121.65,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",52,"126.525",126.525,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",53,"131.510",131.51,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",54,"136.510",136.51,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",55,"141.610",141.61,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",56,"146.912",146.912,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",57,"152.210",152.21,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",58,"157.710",157.71,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",59,"163.288",163.288,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",60,"168.990",168.99,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",61,"174.850",174.85,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",62,"180.749",180.749,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",63,"186.623",186.623,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",64,"193.170",193.17,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",65,"199.120",199.12,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",32,42,"FACTOR",66,"205.685",205.685,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",1,"211.810",211.81,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",2,"218.501",218.501,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",3,"225.685",225.685,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",4,"232.499",232.499,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",5,"239.317",239.317,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",6,"246.615",246.615,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",7,"254.040",254.04,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",8,"261.525",261.525,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",9,"269.040",269.04,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",10,"276.630",276.63,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",11,"284.260",284.26,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",12,"292.501",292.501,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",13,"300.655",300.655,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",14,"308.970",308.97,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",15,"317.360",317.36,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",16,"325.790",325.79,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",17,"334.217",334.217,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",18,"343.290",343.29,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",19,"350.785",350.785,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",20,"359.120",359.12,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",21,"368.380",368.38,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",22,"376.610",376.61,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",23,"385.135",385.135,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",24,"393.380",393.38,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",25,"402.499",402.499,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",26,"410.834",410.834,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",27,"419.166",419.166,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"scrib.f",43,54,"FACTOR",28,"428.380",428.38,"38548071d5aa652bb90c7f111f86b427f798a1c9"
