"species","id","family","source_file","upstream_commit"
17,"100JB2W017","r1_taper","TREEVOLUME_FIXTURES/full/r1_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
19,"100JB2W019","r1_taper","TREEVOLUME_FIXTURES/full/r1_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
73,"100JB2W073","r1_taper","TREEVOLUME_FIXTURES/full/r1_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
108,"100JB2W108","r1_taper","TREEVOLUME_FIXTURES/full/r1_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
122,"100JB2W122","r1_taper","TREEVOLUME_FIXTURES/full/r1_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
202,"100JB2W202","r1_taper","TREEVOLUME_FIXTURES/full/r1_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
301,"H00SN2W301","r12_taper","TREEVOLUME_FIXTURES/full/r12_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
510,"H00SN2W510","r12_taper","TREEVOLUME_FIXTURES/full/r12_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
671,"H00SN2W671","r12_taper","TREEVOLUME_FIXTURES/full/r12_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
510,"H01SN2W510","r12_taper","TREEVOLUME_FIXTURES/full/r12_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
15,"200CZ2W015","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
19,"200CZ2W019","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
93,"200CZ2W093","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
108,"200CZ2W108","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
122,"200CZ2W122","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
202,"200CZ2W202","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
746,"200CZ2W746","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
15,"200CZ3W015","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
19,"200CZ3W019","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
93,"200CZ3W093","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
108,"200CZ3W108","r2_taper","TREEVOLUME_FIXTURES/full/r2_taper.double.csv.gz","38548071d5aa652bb90c7f111f86b427f798a1c9"
