"source_file","source_line_start","source_line_end","routine","target","ordinal","literal","value_type","value_numeric","value_character","upstream_commit"
"r2tap.f",28,43,"R2TAP","((R2MBB(I,J),I=1,4),J=1,8)",1,"-5.18995","numeric",-5.18995,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r2tap.f",28,43,"R2TAP","((R2MBB(I,J),I=1,4),J=1,8)",2,"2.57262","numeric",2.57262,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r2tap.f",28,43,"R2TAP","((R2MBB(I,J),I=1,4),J=1,8)",3,"-3.85160","numeric",-3.8516,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r2tap.f",28,43,"R2TAP","((R2MBB(I,J),I=1,4),J=1,8)",4,"117.934","numeric",117.934,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r2tap.f",28,43,"R2TAP","((R2MBB(I,J),I=1,4),J=1,8)",5,"GEPOLE (2)                 -3.65010","expression",,"GEPOLE (2)                 -3.65010","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r2tap.f",28,43,"R2TAP","((R2MBB(I,J),I=1,4),J=1,8)",6,"1.45492","numeric",1.45492,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r2tap.f",28,43,"R2TAP","((R2MBB(I,J),I=1,4),J=1,8)",7,"-2.20082","numeric",-2.20082,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r2tap.f",28,43,"R2TAP","((R2MBB(I,J),I=1,4),J=1,8)",8,"52.058","numeric",52.058,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r2tap.f",28,43,"R2TAP","((R2MBB(I,J),I=1,4),J=1,8)",9,"DEROSA PINE BLACK HILLS (3)                 -2.59737","expression",,"DEROSA PINE BLACK HILLS (3)                 -2.59737","38548071d5aa652bb90c7f111f86b427f798a1c9"
"r2tap.f",28,43,"R2TAP","((R2MBB(I,J),I=1,4),J=1,8)",10,"0.96927","numeric",0.96927,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
"r2tap.f",28,43,"R2TAP","((R2MBB(I,J),I=1,4),J=1,8)",11,"-1.43195","numeric",-1.43195,,"38548071d5aa652bb90c7f111f86b427f798a1c9"
