"family","output","precision","compat","rows_compared","rows_within_tolerance","max_relative_difference","tolerance","exclusions"
"flewelling_2pt","height at DIB","double","port",99822,99822,2.18164875574086e-05,4e-05,"nonzero_errflag  6915, sf_hs_bark_height 11525, at_or_below_contract_stump    39"
"flewelling_2pt","height at DIB","single","port",99822,99822,0.00126155476677238,0.002,"nonzero_errflag  6915, sf_hs_bark_height 11525, at_or_below_contract_stump    39"
"flewelling_2pt","stump cubic volume","double","port",14416,14416,2.58952938174158e-15,1e-12,"library_nonzero_errflag 917, fwsmall_uninitialized_state 173"
"flewelling_2pt","stump cubic volume","single","port",14416,14416,3.58451719415192e-05,0.002,"library_nonzero_errflag 917, fwsmall_uninitialized_state 173"
"flewelling_2pt","tip cubic volume","double","port",0,0,,1e-12,"library_nonzero_errflag   917, segmentation_not_available 14589"
"flewelling_2pt","tip cubic volume","single","port",0,0,,0.002,"library_nonzero_errflag   917, segmentation_not_available 14589"
"flewelling_2pt","total cubic volume","double","port",14416,14416,2.21698201485211e-16,1e-12,"library_nonzero_errflag 917, fwsmall_uninitialized_state 173"
"flewelling_2pt","total cubic volume","single","port",14416,14416,0.000354757013581233,0.002,"library_nonzero_errflag 917, fwsmall_uninitialized_state 173"
"flewelling_3pt","DIB","double","port",37616,37616,2.07796185822275e-16,2e-04,"upper_at_or_above_total 2300"
"flewelling_3pt","DIB","single","port",37616,37616,0.000106123066687158,3e-04,"upper_at_or_above_total 2300"
"flewelling_3pt","DOB","double","port",37616,37616,0,2e-04,"upper_at_or_above_total 2300"
"flewelling_3pt","DOB","single","port",37616,37616,0,3e-04,"upper_at_or_above_total 2300"
"flewelling_3pt","height at DIB","double","nvel",23082,23082,3.72516499144962e-12,4e-05,"outside_compatibility_ruling 11523"
"flewelling_3pt","height at DIB","single","nvel",23074,23074,0.00175449115079611,0.002,"outside_compatibility_ruling 11523, single_precision_boundary     8"
"flewelling_3pt","height at DIB","double","port",6930,6930,7.91969289785407e-06,4e-05,"upper_at_or_above_total  4593, sf_hs_conditioned_root 23082"
