"stems","products","strategy","threads","seconds","stems_per_second","million_seconds"
100000,3,"cascade",8,337.284,296.486047366611,3372.84
100000,3,"optimize",8,315.51,316.94716490761,3155.1
100000,10,"cascade",8,290.461,344.280299248436,2904.61
100000,10,"optimize",8,336.459,297.21303338594,3364.59
